Timestamp,Age:,Gender,  Which district do you live in?  ,  Which supermarket do you shop at most frequently?  ,  How often do you shop at supermarkets?  ,What are the main reasons you shop at your primary supermarket? (Select all that apply)  , How satisfied are you with your primary supermarket on the following aspects?   [Product Variety], How satisfied are you with your primary supermarket on the following aspects?   [Pricing], How satisfied are you with your primary supermarket on the following aspects?   [Customer Service], How satisfied are you with your primary supermarket on the following aspects?   [Availability of Products], How satisfied are you with your primary supermarket on the following aspects?   [Promotions and Discounts], What improvements would you like to see in your primary supermarket?  
2024/08/08 7:51:31 pm GMT+5:30,18-24,Female,Galle,John Keells,Monthly,Pricing;Product Variety;Customer Service,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,
2024/08/08 7:53:12 pm GMT+5:30,18-24,Female,Galle,John Keells,Monthly,Product Variety,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/08 7:56:36 pm GMT+5:30,18-24,Female,Gampaha,John Keells,Weekly,Pricing;Product Variety;Location;Customer Service;Promotions;Loyalty Programs,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,The price of fruits and vegetables should be lower compared to the market price
2024/08/08 8:56:13 pm GMT+5:30,18-24,Male,Kalutara,Cargills,Frequently ,Product Quality;Location,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,No
2024/08/08 8:57:05 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills;Sathos,Weekly,Pricing;Product Quality;Location;Loyalty Programs,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Self services
2024/08/08 8:59:00 pm GMT+5:30,18-24,Female,Colombo,John Keells,Weekly,Product Quality,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,
2024/08/08 8:59:37 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills,Weekly,Location;Product Variety,Neutral,Neutral,Neutral,Neutral,Neutral,Increase the variation 
2024/08/08 9:00:10 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills,Weekly,Location;Product Variety,Very Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Reducing the time in Queue to purchase 
2024/08/08 9:02:17 pm GMT+5:30,18-24,Female,Galle,Cargills,Weekly,Location,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/08 9:02:19 pm GMT+5:30,18-24,Female,Colombo,John Keells,Weekly;Bi-weekly;Monthly,Pricing;Product Quality;Location;Promotions;Loyalty Programs;Product Variety,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,-
2024/08/08 9:03:35 pm GMT+5:30,18-24,Male,Galle,Cargills,Weekly,Loyalty Programs,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,
2024/08/08 9:03:46 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills;Laugfs,Weekly,Product Quality;Location;Loyalty Programs,Neutral,Neutral,Neutral,Neutral,Neutral,no
2024/08/08 9:04:38 pm GMT+5:30,18-24,Male,Galle,Cargills,Weekly,Loyalty Programs,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,
2024/08/08 9:05:13 pm GMT+5:30,18-24,Female,Kalutara,John Keells,Monthly,Product Quality,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Regarding prices
2024/08/08 9:07:16 pm GMT+5:30,18-24,Female,Galle,John Keells;Cargills,Bi-weekly,Pricing;Product Quality;Location;Promotions;Product Variety,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,
2024/08/08 9:08:14 pm GMT+5:30,18-24,Female,Galle,John Keells,Weekly,Product Quality;Customer Service;Promotions,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,High ququality  of  food 
2024/08/08 9:09:41 pm GMT+5:30,18-24,Female,Colombo,John Keells;Cargills,2 times per week,Pricing;Product Quality;Location;Customer Service;Promotions;Loyalty Programs;Product Variety,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,-
2024/08/08 9:10:13 pm GMT+5:30,18-24,Male,Gampaha,Cargills,Monthly,Pricing,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Variety 
2024/08/08 9:11:32 pm GMT+5:30,18-24,Male,Hambantota,Cargills,Weekly,Product Quality,Neutral,Neutral,Neutral,Neutral,Neutral,","
2024/08/08 9:12:07 pm GMT+5:30,18-24,Female,Matara,Cargills,Weekly,Product Quality;Customer Service,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No
2024/08/08 9:14:47 pm GMT+5:30,18-24,Female,Kegalle,John Keells;Cargills,Weekly,Pricing;Product Quality;Location;Promotions,Neutral,Neutral,Neutral,Neutral,Neutral,Faster checkout process
2024/08/08 9:15:07 pm GMT+5:30,18-24,Female,Gampaha,John Keells;Cargills,Weekly,Product Quality;Location;Customer Service;Promotions,Very Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Need more outlets in rural areas .
